iter	Passed	Remaining
0	27	68113
1	61	76112
2	92	76748
3	125	77991
4	158	78371
5	189	78254
6	222	78662
7	262	81243
8	297	81793
9	341	84362
10	377	84695
11	411	84662
12	448	85118
13	483	85129
14	580	95411
15	615	94772
16	657	95261
17	699	95771
18	736	95470
19	773	95209
20	811	95081
21	850	95055
22	887	94829
23	925	94782
24	974	95771
25	1014	95757
26	1050	95482
27	1099	96356
28	1136	96051
29	1174	95937
30	1218	96266
31	1256	96127
32	1292	95858
33	1327	95520
34	1365	95397
35	1401	95215
36	1440	95183
37	1478	95062
38	1521	95291
39	1559	95177
40	1599	95216
41	1634	94924
42	1923	109049
43	1959	108534
44	1995	108045
45	2033	107616
46	2071	107259
47	2107	106839
48	2151	106783
49	2187	106333
50	2249	107192
51	2300	107450
52	2336	107051
53	2366	106351
54	2410	106314
55	2454	106299
56	2512	106867
57	2551	106598
58	2578	105859
59	2625	105947
60	2673	106064
61	2703	105475
62	2739	105159
63	2775	104811
64	2803	104216
65	2839	103886
66	2884	103918
67	2919	103616
68	2947	103040
69	2986	102854
70	3023	102627
71	3057	102284
72	3085	101769
73	3118	101445
74	3146	100928
75	3180	100650
76	3209	100212
77	3244	99958
78	3280	99756
79	3317	99579
80	3362	99629
81	3388	99134
82	3422	98886
83	3447	98390
84	3485	98255
85	3519	98006
86	3549	97679
87	3583	97434
88	3617	97228
89	3655	97112
90	3688	96861
91	3715	96471
92	3746	96211
93	3778	95948
94	3808	95649
95	3844	95499
96	3869	95112
97	3897	94770
98	3932	94614
99	3974	94629
100	4011	94537
101	4045	94353
102	4081	94238
103	4115	94059
104	4156	94047
105	4185	93771
106	4222	93674
107	4293	94327
108	4328	94184
109	4356	93903
110	4386	93661
111	4421	93516
112	4452	93311
113	4483	93096
114	4514	92879
115	4545	92663
116	4569	92321
117	4598	92096
118	4630	91912
119	4664	91768
120	4693	91536
121	4719	91252
122	4750	91071
123	4778	90836
124	4805	90578
125	4834	90358
126	4880	90461
127	4914	90333
128	4956	90371
129	4989	90227
130	5015	89966
131	5057	90004
132	5098	90014
133	5132	89899
134	5165	89770
135	5199	89660
136	5232	89521
137	5257	89256
138	5290	89142
139	5325	89054
140	5358	88928
141	5386	88718
142	5420	88622
143	5455	88543
144	5484	88358
145	5517	88235
146	5551	88139
147	5589	88115
148	5623	88007
149	5650	87815
150	5684	87714
